Model,CV_mean_AUC,CV_std,CI_low,CI_high,Decision
"LR (L2, class_weight=balanced)",0.6607,0.0025,0.6557,0.6657,Selected as final model
"XGBoost (defaults, scale_pos_weight)",0.6647,0.0033,0.6581,0.6713,Tested - marginal improvement within noise
